ID,confidence,logC,T,G
43,80,4.3826216957,8,1
44,25,3.2194020022,1,0
44,25,3.2194020022,2,0
44,44,3.7845882785,3,0
44,45,3.8070592365,4,0
44,78,4.357266085,5,0
44,60,4.0947509837,6,0
44,55,4.0077283641,7,0
44,76,4.3312595176,8,0
45,50,3.9124150854,1,0
45,33,3.496953095,2,0
45,55,4.0077283641,3,0
45,45,3.8070592365,4,0
45,45,3.8070592365,5,0
45,50,3.9124150854,6,0
45,10,2.3036833907,7,0
45,33,3.496953095,8,0
46,5,1.6115190786,1,0
46,60,4.0947509837,2,0
46,0,-4.615120517,3,0
46,0,-4.615120517,4,0
46,0,-4.615120517,5,0
46,30,3.4016667551,6,0
46,10,2.3036833907,7,0
46,10,2.3036833907,8,0
47,20,2.9963493671,1,0
47,50,3.9124150854,2,0
47,80,4.3826216957,3,0
47,20,2.9963493671,4,0
47,20,2.9963493671,5,0
47,20,2.9963493671,6,0
47,60,4.0947509837,7,0
47,40,3.6892892062,8,0
48,15,2.7088250946,1,0
48,5,1.6115190786,2,0
48,0,-4.615120517,3,0
48,5,1.6115190786,4,0
48,0,-4.615120517,5,0
48,0,-4.615120517,6,0
48,0,-4.615120517,7,0
48,0,-4.615120517,8,0
49,50,3.9124150854,1,0
49,15,2.7088250946,2,0
49,20,2.9963493671,3,0
49,50,3.9124150854,4,0
49,35,3.5557808682,5,0
49,50,3.9124150854,6,0
49,40,3.6892892062,7,0
49,30,3.4016667551,8,0
50,50,3.9124150854,1,0
50,40,3.6892892062,2,0
50,40,3.6892892062,3,0
50,50,3.9124150854,4,0
50,50,3.9124150854,5,0
50,20,2.9963493671,6,0
50,40,3.6892892062,7,0
50,10,2.3036833907,8,0
51,85,4.4433862804,1,0
51,25,3.2194020022,2,0
51,15,2.7088250946,3,0
51,65,4.174814529,4,0
51,65,4.174814529,5,0
51,55,4.0077283641,6,0
51,65,4.174814529,7,0
51,55,4.0077283641,8,0
52,85,4.4433862804,1,0
52,75,4.3180008026,2,0
52,70,4.2489559654,3,0
52,70,4.2489559654,4,0
52,60,4.0947509837,5,0
52,50,3.9124150854,6,0
52,60,4.0947509837,7,0
52,75,4.3180008026,8,0
53,30,3.4016667551,1,1
53,30,3.4016667551,2,1
53,30,3.4016667551,3,1
53,20,2.9963493671,4,1
53,50,3.9124150854,5,1
53,35,3.5557808682,6,1
53,50,3.9124150854,7,1
53,30,3.4016667551,8,1
54,60,4.0947509837,1,0
54,50,3.9124150854,2,0
54,60,4.0947509837,3,0
54,35,3.5557808682,4,0
54,30,3.4016667551,5,0
54,30,3.4016667551,6,0
54,60,4.0947509837,7,0
54,30,3.4016667551,8,0
55,75,4.3180008026,1,1
55,75,4.3180008026,2,1
55,90,4.5008192615,3,1
55,75,4.3180008026,4,1
55,90,4.5008192615,5,1
55,90,4.5008192615,6,1
55,85,4.4433862804,7,1
55,75,4.3180008026,8,1
56,75,4.3180008026,1,0
56,50,3.9124150854,2,0
56,50,3.9124150854,3,0
56,35,3.5557808682,4,0
56,75,4.3180008026,5,0
56,60,4.0947509837,6,0
56,65,4.174814529,7,0
56,60,4.0947509837,8,0
57,75,4.3180008026,1,0
57,5,1.6115190786,2,0
57,70,4.2489559654,3,0
57,75,4.3180008026,4,0
57,40,3.6892892062,5,0
57,10,2.3036833907,6,0
57,20,2.9963493671,7,0
57,25,3.2194020022,8,0
58,40,3.6892892062,1,0
58,25,3.2194020022,2,0
58,50,3.9124150854,3,0
58,45,3.8070592365,4,0
58,0,-4.615120517,5,0
58,50,3.9124150854,6,0
58,50,3.9124150854,7,0
58,50,3.9124150854,8,0
59,10,2.3036833907,1,0
59,60,4.0947509837,2,0
59,40,3.6892892062,3,0
59,60,4.0947509837,4,0
59,70,4.2489559654,5,0
59,85,4.4433862804,6,0
59,50,3.9124150854,7,0
59,60,4.0947509837,8,0
60,50,3.9124150854,1,0
60,50,3.9124150854,2,0
60,50,3.9124150854,3,0
60,25,3.2194020022,4,0
60,10,2.3036833907,5,0
60,25,3.2194020022,6,0
60,10,2.3036833907,7,0
60,20,2.9963493671,8,0
61,0,-4.615120517,1,1
61,10,2.3036833907,2,1
61,0,-4.615120517,3,1
61,25,3.2194020022,4,1
61,30,3.4016667551,5,1
61,0,-4.615120517,6,1
61,0,-4.615120517,7,1
61,25,3.2194020022,8,1
62,50,3.9124150854,1,0
62,50,3.9124150854,2,0
62,50,3.9124150854,3,0
62,50,3.9124150854,4,0
62,50,3.9124150854,5,0
62,50,3.9124150854,6,0
62,50,3.9124150854,7,0
62,50,3.9124150854,8,0
63,67,4.2051315046,1,0
63,60,4.0947509837,2,0
63,65,4.174814529,3,0
63,75,4.3180008026,4,0
63,75,4.3180008026,5,0
63,65,4.174814529,6,0
63,50,3.9124150854,7,0
63,50,3.9124150854,8,0
64,25,3.2194020022,1,0
64,25,3.2194020022,2,0
64,40,3.6892892062,3,0
64,23,3.1360514742,4,0
64,45,3.8070592365,5,0
64,68,4.2199532387,6,0
64,75,4.3180008026,7,0
64,50,3.9124150854,8,0
65,100,4.6151205168,1,0
65,90,4.5008192615,2,0
65,100,4.6151205168,3,0
65,80,4.3826216957,4,0
65,50,3.9124150854,5,0
65,50,3.9124150854,6,0
65,30,3.4016667551,7,0
65,30,3.4016667551,8,0
66,50,3.9124150854,1,1
66,75,4.3180008026,2,1
66,50,3.9124150854,3,1
66,50,3.9124150854,4,1
66,70,4.2489559654,5,1
66,75,4.3180008026,6,1
66,40,3.6892892062,7,1
66,75,4.3180008026,8,1
67,65,4.174814529,1,0
67,65,4.174814529,2,0
67,70,4.2489559654,3,0
67,50,3.9124150854,4,0
67,50,3.9124150854,5,0
67,70,4.2489559654,6,0
67,75,4.3180008026,7,0
67,35,3.5557808682,8,0
68,20,2.9963493671,1,0
68,20,2.9963493671,2,0
68,30,3.4016667551,3,0
68,10,2.3036833907,4,0
68,5,1.6115190786,5,0
68,10,2.3036833907,6,0
68,5,1.6115190786,7,0
68,5,1.6115190786,8,0
69,20,2.9963493671,1,0
69,10,2.3036833907,2,0
69,50,3.9124150854,3,0
69,0,-4.615120517,4,0
69,0,-4.615120517,5,0
69,0,-4.615120517,6,0
69,60,4.0947509837,7,0
69,10,2.3036833907,8,0
70,30,3.4016667551,1,0
70,20,2.9963493671,2,0
70,25,3.2194020022,3,0
70,25,3.2194020022,4,0
70,0,-4.615120517,5,0
70,10,2.3036833907,6,0
70,25,3.2194020022,7,0
70,50,3.9124150854,8,0
71,75,4.3180008026,1,1
71,65,4.174814529,2,1
71,90,4.5008192615,3,1
71,50,3.9124150854,4,1
71,0,-4.615120517,5,1
71,50,3.9124150854,6,1
71,100,4.6151205168,7,1
71,65,4.174814529,8,1
72,80,4.3826216957,1,1
72,85,4.4433862804,2,1
72,80,4.3826216957,3,1
72,80,4.3826216957,4,1
72,65,4.174814529,5,1
72,85,4.4433862804,6,1
72,90,4.5008192615,7,1
72,50,3.9124150854,8,1
73,20,2.9963493671,1,0
73,0,-4.615120517,2,0
73,50,3.9124150854,3,0
73,0,-4.615120517,4,0
73,90,4.5008192615,5,0
73,50,3.9124150854,6,0
73,0,-4.615120517,7,0
73,0,-4.615120517,8,0
74,5,1.6115190786,1,0
74,0,-4.615120517,2,0
74,50,3.9124150854,3,0
74,20,2.9963493671,4,0
74,30,3.4016667551,5,0
74,25,3.2194020022,6,0
74,25,3.2194020022,7,0
74,50,3.9124150854,8,0
75,60,4.0947509837,1,1
75,50,3.9124150854,2,1
75,70,4.2489559654,3,1
75,70,4.2489559654,4,1
75,80,4.3826216957,5,1
75,0,-4.615120517,6,1
75,30,3.4016667551,7,1
75,50,3.9124150854,8,1
76,50,3.9124150854,1,0
76,75,4.3180008026,2,0
76,75,4.3180008026,3,0
76,90,4.5008192615,4,0
76,75,4.3180008026,5,0
76,90,4.5008192615,6,0
76,99,4.6001576442,7,0
